Year,State,Deaths,Population,Crude,Adjusted
2002,Arizona,504,5396255,9.3,9.2
2002,Arkansas,197,2705927,7.3,7.4
2002,California,2516,34871843,7.2,7
2002,Colorado,188,4490406,4.2,4.1
2002,Connecticut,98,3458749,2.8,3
2002,Delaware,38,806169,4.7,4.7
2002,District of Columbia,230,573158,40.1,36.5
2002,Florida,1018,16689370,6.1,6.3
2002,Georgia,678,8508256,8,7.7
2002,Hawaii,39,1239613,3.1,3.2
2002,Idaho,32,1340372,2.4,2.4
2002,Illinois,1023,12525556,8.2,8
2002,Indiana,390,6155967,6.3,6.3
2002,Iowa,56,2934234,1.9,2
2002,Kansas,131,2713535,4.8,4.8
2002,Kentucky,196,4089875,4.8,4.8
2002,Louisiana,608,4497267,13.5,13.4
2002,Maine,11,1295960,NA,NA
2002,Maryland,543,5440389,10,10.1
2002,Massachusetts,188,6417206,2.9,2.9
2002,Michigan,701,10015710,7,7
2002,Minnesota,127,5018935,2.5,2.5
2002,Mississippi,306,2858681,10.7,10.8
2002,Missouri,372,5674825,6.6,6.6
2002,Montana,23,911667,2.5,2.5
2002,Nebraska,50,1728292,2.9,2.9
2002,Nevada,177,2173791,8.1,8.1
2002,New Jersey,335,8552643,3.9,4
2002,New Mexico,165,1855309,8.9,8.9
2002,New York,930,19137800,4.9,4.8
2002,North Carolina,650,8326201,7.8,7.7
2002,Ohio,558,11407889,4.9,5
2002,Oklahoma,198,3489080,5.7,5.6
2002,Oregon,106,3513424,3,3.1
2002,Pennsylvania,648,12331031,5.3,5.4
2002,Rhode Island,43,1065995,4,4
2002,South Carolina,329,4107795,8,8
2002,South Dakota,22,760020,2.9,3
2002,Tennessee,470,5795918,8.1,8.1
2002,Texas,1427,21690325,6.6,6.4
2002,Utah,53,2324815,2.3,2.2
2002,Virginia,397,7286873,5.4,5.4
2002,Washington,216,6052349,3.6,3.5
2002,West Virginia,95,1805414,5.3,5.5
2002,Wisconsin,196,5445162,3.6,3.6
2002,Wyoming,23,500017,4.6,4.6
2003,Alabama,438,4503491,9.7,9.8
2003,Alaska,47,648414,7.2,6.9
2003,Arizona,499,5510364,9.1,8.8
2003,Arkansas,197,2724816,7.2,7.4
2003,California,2523,35253159,7.2,6.9
2003,Colorado,193,4528732,4.3,4.1
2003,Connecticut,108,3484336,3.1,3.2
2003,Delaware,26,818003,3.2,3.2
2003,District of Columbia,195,568502,34.3,30.8
2003,Florida,1011,17004085,5.9,6.2
2003,Georgia,738,8622793,8.6,8.4
2003,Hawaii,24,1251154,1.9,1.9
2003,Idaho,34,1363380,2.5,2.5
2003,Illinois,971,12556006,7.7,7.6
2003,Indiana,350,6196638,5.6,5.7
2003,Iowa,53,2941999,1.8,1.9
2003,Kansas,121,2723004,4.4,4.5
2003,Kentucky,194,4117170,4.7,4.7
2003,Louisiana,606,4521042,13.4,13.3
2003,Maine,17,1306513,NA,NA
2003,Maryland,559,5496269,10.2,10.3
2003,Massachusetts,142,6422565,2.2,2.2
2003,Michigan,661,10041152,6.6,6.7
2003,Minnesota,131,5053572,2.6,2.6
2003,Mississippi,308,2868312,10.7,10.8
2003,Missouri,328,5709403,5.7,5.8
2003,Montana,37,919630,4,4.2
2003,Nebraska,64,1738643,3.7,3.7
2003,Nevada,186,2248850,8.3,8.2
2003,New Hampshire,20,1279840,1.6,1.6
2003,New Jersey,428,8601402,5,5.1
2003,New Mexico,169,1877574,9,9.1
2003,New York,971,19175939,5.1,5.1
2003,North Carolina,601,8422501,7.1,7.1
2003,North Dakota,12,638817,NA,NA
2003,Ohio,527,11434788,4.6,4.7
2003,Oklahoma,226,3504892,6.4,6.5
2003,Oregon,94,3547376,2.6,2.6
2003,Pennsylvania,689,12374658,5.6,5.8
2003,Rhode Island,29,1071342,2.7,2.6
2003,South Carolina,326,4150297,7.9,7.9
2003,South Dakota,16,763729,NA,NA
2003,Tennessee,438,5847812,7.5,7.5
2003,Texas,1543,22030931,7,6.9
2003,Utah,58,2360137,2.5,2.5
2003,Vermont,12,617858,NA,NA
2003,Virginia,464,7366977,6.3,6.2
2003,Washington,221,6104115,3.6,3.6
2003,West Virginia,89,1812295,4.9,5
2003,Wisconsin,200,5479203,3.7,3.6
2003,Wyoming,16,503453,NA,NA
2004,Alabama,371,4530729,8.2,8.3
2004,Alaska,42,659286,6.4,6.2
2004,Arizona,511,5652404,9,9
2004,Arkansas,212,2749686,7.7,7.8
2004,California,2510,35574576,7.1,6.8
2004,Colorado,220,4575013,4.8,4.7
2004,Connecticut,111,3496094,3.2,3.3
2004,Delaware,35,830803,4.2,4.2
2004,District of Columbia,176,567754,31,28.2
2004,Florida,1040,17415318,6,6.2
2004,Georgia,667,8769252,7.6,7.4
2004,Hawaii,33,1273569,2.6,2.5
2004,Idaho,32,1391802,2.3,2.3
2004,Illinois,883,12589773,7,7
2004,Indiana,336,6233007,5.4,5.4
2004,Iowa,59,2953635,2,2
2004,Kansas,118,2734373,4.3,4.4
2004,Kentucky,230,4146101,5.5,5.6
2004,Louisiana,604,4552238,13.3,13
2004,Maine,21,1313688,1.6,1.6
2004,Maryland,534,5546935,9.6,9.8
2004,Massachusetts,175,6412281,2.7,2.7
2004,Michigan,677,10055315,6.7,6.9
2004,Minnesota,137,5087713,2.7,2.7
2004,Mississippi,284,2889010,9.8,10
2004,Missouri,372,5747741,6.5,6.5
2004,Montana,26,930009,2.8,2.8
2004,Nebraska,40,1749370,2.3,2.2
2004,Nevada,187,2346222,8,7.9
2004,New Hampshire,24,1290121,1.9,1.8
2004,New Jersey,414,8634561,4.8,4.9
2004,New Mexico,178,1903808,9.3,9.5
2004,New York,876,19171567,4.6,4.6
2004,North Carolina,620,8553152,7.2,7.2
2004,North Dakota,11,644705,NA,NA
2004,Ohio,571,11452251,5,5.1
2004,Oklahoma,224,3525233,6.4,6.4
2004,Oregon,112,3569463,3.1,3.1
2004,Pennsylvania,695,12410722,5.6,5.8
2004,Rhode Island,30,1074579,2.8,2.8
2004,South Carolina,325,4210921,7.7,7.8
2004,South Dakota,24,770396,3.1,3.2
2004,Tennessee,421,5910809,7.1,7.1
2004,Texas,1429,22394023,6.4,6.3
2004,Utah,45,2401580,1.9,1.9
2004,Vermont,10,619920,NA,NA
2004,Virginia,407,7475575,5.4,5.4
2004,Washington,219,6178645,3.5,3.5
2004,West Virginia,80,1816438,4.4,4.5
2004,Wisconsin,155,5514026,2.8,2.8
2004,Wyoming,20,509106,3.9,3.9
2005,Alabama,436,4569805,9.5,9.7
2005,Alaska,37,666946,5.5,5.2
2005,Arizona,533,5839077,9.1,9
2005,Arkansas,225,2781097,8.1,8.2
2005,California,2565,35827943,7.2,6.9
2005,Colorado,183,4631888,4,3.9
2005,Connecticut,107,3506956,3.1,3.2
2005,Delaware,55,845150,6.5,6.6
2005,District of Columbia,181,567136,31.9,28.5
2005,Florida,1014,17842038,5.7,5.9
2005,Georgia,651,8925922,7.3,7.2
2005,Hawaii,26,1292729,2,2
2005,Idaho,47,1428241,3.3,3.3
2005,Illinois,869,12609903,6.9,6.9
2005,Indiana,371,6278616,5.9,5.9
2005,Iowa,45,2964454,1.5,1.6
2005,Kansas,107,2745299,3.9,3.9
2005,Kentucky,223,4182742,5.3,5.4
2005,Louisiana,593,4576628,13,12.8
2005,Maine,23,1318787,1.7,1.7
2005,Maryland,583,5592379,10.4,10.5
2005,Massachusetts,179,6403290,2.8,2.8
2005,Michigan,682,10051137,6.8,7
2005,Minnesota,140,5119598,2.7,2.7
2005,Mississippi,255,2905943,8.8,9
2005,Missouri,425,5790300,7.3,7.4
2005,Montana,34,940102,3.6,3.5
2005,Nebraska,44,1761497,2.5,2.5
2005,Nevada,190,2432143,7.8,7.8
2005,New Hampshire,19,1298492,NA,NA
2005,New Jersey,429,8651974,5,5.2
2005,New Mexico,155,1932274,8,8.1
2005,New York,908,19132610,4.7,4.7
2005,North Carolina,665,8705407,7.6,7.6
2005,North Dakota,11,646089,NA,NA
2005,Ohio,639,11463320,5.6,5.7
2005,Oklahoma,218,3548597,6.1,6.2
2005,Oregon,103,3613202,2.9,2.9
2005,Pennsylvania,755,12449990,6.1,6.3
2005,Rhode Island,33,1067916,3.1,3.2
2005,South Carolina,342,4270150,8,8
2005,South Dakota,22,775493,2.8,2.9
2005,Tennessee,496,5991057,8.3,8.3
2005,Texas,1518,22778123,6.7,6.5
2005,Utah,63,2457719,2.6,2.4
2005,Vermont,12,621215,NA,NA
2005,Virginia,491,7577105,6.5,6.4
2005,Washington,233,6257305,3.7,3.7
2005,West Virginia,93,1820492,5.1,5.4
2005,Wisconsin,239,5546166,4.3,4.3
2005,Wyoming,16,514157,NA,NA
2006,Alabama,448,4628981,9.7,9.8
2006,Alaska,44,675302,6.5,6.3
2006,Arizona,552,6029141,9.2,9.2
2006,Arkansas,237,2821761,8.4,8.6
2006,California,2655,36021202,7.4,7.1
2006,Colorado,183,4720423,3.9,3.8
2006,Connecticut,133,3517460,3.8,4
2006,Delaware,51,859268,5.9,6.2
2006,District of Columbia,150,570681,26.3,23.2
2006,Florida,1224,18166990,6.7,6.9
2006,Georgia,691,9155813,7.5,7.4
2006,Hawaii,29,1309731,2.2,2.1
2006,Idaho,38,1468669,2.6,2.6
2006,Illinois,871,12643955,6.9,6.8
2006,Indiana,377,6332669,6,6
2006,Iowa,75,2982644,2.5,2.6
2006,Kansas,115,2762931,4.2,4.2
2006,Kentucky,192,4219239,4.6,4.6
2006,Louisiana,556,4302665,12.9,12.7
2006,Maine,20,1323619,1.5,1.5
2006,Maryland,571,5627367,10.1,10.2
2006,Massachusetts,186,6410084,2.9,2.9
2006,Michigan,730,10036081,7.3,7.4
2006,Minnesota,129,5163555,2.5,2.5
2006,Mississippi,319,2904978,11,11.1
2006,Missouri,414,5842704,7.1,7.2
2006,Montana,35,952692,3.7,3.8
2006,Nebraska,56,1772693,3.2,3.1
2006,Nevada,221,2522658,8.8,8.8
2006,New Hampshire,21,1308389,1.6,1.7
2006,New Jersey,453,8661679,5.2,5.5
2006,New Mexico,137,1962137,7,7.1
2006,New York,967,19104631,5.1,5
2006,North Carolina,627,8917270,7,7
2006,North Dakota,11,649422,NA,NA
2006,Ohio,678,11481213,5.9,6.1
2006,Oklahoma,231,3594090,6.4,6.5
2006,Oregon,113,3670883,3.1,3.1
2006,Pennsylvania,786,12510809,6.3,6.5
2006,Rhode Island,39,1063096,3.7,3.6
2006,South Carolina,393,4357847,9,9
2006,South Dakota,23,783033,2.9,3.1
2006,Tennessee,488,6088766,8,8
2006,Texas,1483,23359580,6.3,6.2
2006,Utah,53,2525507,2.1,2.1
2006,Vermont,14,622892,NA,NA
2006,Virginia,412,7673725,5.4,5.3
2006,Washington,222,6370753,3.5,3.5
2006,West Virginia,97,1827912,5.3,5.4
2006,Wisconsin,195,5577655,3.5,3.5
2006,Wyoming,10,522667,NA,NA
2007,Alabama,483,4672840,10.3,10.5
2007,Alaska,50,680300,7.3,7.2
2007,Arizona,530,6167681,8.6,8.5
2007,Arkansas,244,2848650,8.6,8.8
2007,California,2409,36250311,6.6,6.4
2007,Colorado,173,4803868,3.6,3.5
2007,Connecticut,106,3527270,3,3.1
2007,Delaware,48,871749,5.5,5.7
2007,District of Columbia,159,574404,27.7,23.8
2007,Florida,1344,18367842,7.3,7.6
2007,Georgia,776,9349988,8.3,8.2
2007,Hawaii,25,1315675,1.9,1.9
2007,Idaho,48,1505105,3.2,3.2
2007,Illinois,874,12695866,6.9,6.9
2007,Indiana,375,6379599,5.9,5.9
2007,Iowa,53,2999212,1.8,1.9
2007,Kansas,117,2783785,4.2,4.3
2007,Kentucky,215,4256672,5.1,5
2007,Louisiana,633,4375581,14.5,14.5
2007,Maine,26,1327040,2,2
2007,Maryland,574,5653408,10.2,10.3
2007,Massachusetts,189,6431559,2.9,3
2007,Michigan,708,10001284,7.1,7.3
2007,Minnesota,121,5207203,2.3,2.3
2007,Mississippi,290,2928350,9.9,10
2007,Missouri,390,5887612,6.6,6.7
2007,Montana,24,964706,2.5,2.5
2007,Nebraska,71,1783440,4,4.1
2007,Nevada,192,2601072,7.4,7.3
2007,New Hampshire,14,1312540,NA,NA
2007,New Jersey,405,8677885,4.7,4.9
2007,New Mexico,164,1990070,8.2,8.4
2007,New York,842,19132335,4.4,4.4
2007,North Carolina,679,9118037,7.4,7.5
2007,North Dakota,14,652822,NA,NA
2007,Ohio,649,11500468,5.6,5.8
2007,Oklahoma,255,3634349,7,7
2007,Oregon,82,3722417,2.2,2.2
2007,Pennsylvania,764,12563937,6.1,6.4
2007,Rhode Island,25,1057315,2.4,2.3
2007,South Carolina,385,4444110,8.7,8.7
2007,South Dakota,15,791623,NA,NA
2007,Tennessee,476,6175727,7.7,7.8
2007,Texas,1509,23831983,6.3,6.2
2007,Utah,68,2597746,2.6,2.4
2007,Vermont,13,623481,NA,NA
2007,Virginia,424,7751000,5.5,5.4
2007,Washington,202,6461587,3.1,3.1
2007,West Virginia,88,1834052,4.8,5
2007,Wisconsin,202,5610775,3.6,3.6
2007,Wyoming,18,534876,NA,NA
2008,Alabama,459,4718206,9.7,10
2008,Alaska,31,687455,4.5,4.8
2008,Arizona,486,6280362,7.7,7.8
2008,Arkansas,216,2874554,7.5,7.8
2008,California,2301,36604337,6.3,6.1
2008,Colorado,195,4889730,4,3.9
2008,Connecticut,128,3545579,3.6,3.8
2008,Delaware,66,883874,7.5,7.7
2008,District of Columbia,167,580236,28.8,26.1
2008,Florida,1307,18527305,7.1,7.5
2008,Georgia,717,9504843,7.5,7.5
2008,Hawaii,29,1332213,2.2,2.2
2008,Idaho,25,1534320,1.6,1.6
2008,Illinois,879,12747038,6.9,6.9
2008,Indiana,326,6424806,5.1,5.2
2008,Iowa,82,3016734,2.7,2.9
2008,Kansas,114,2808076,4.1,4
2008,Kentucky,242,4289878,5.6,5.7
2008,Louisiana,546,4435586,12.3,12.2
2008,Maine,34,1330509,2.6,2.7
2008,Maryland,528,5684965,9.3,9.4
2008,Massachusetts,169,6468967,2.6,2.6
2008,Michigan,647,9946889,6.5,6.7
2008,Minnesota,130,5247018,2.5,2.5
2008,Mississippi,335,2947806,11.4,11.5
2008,Missouri,488,5923916,8.2,8.5
2008,Montana,41,976415,4.2,4.3
2008,Nebraska,78,1796378,4.3,4.3
2008,Nevada,164,2653630,6.2,6.1
2008,New Hampshire,24,1315906,1.8,1.8
2008,New Jersey,386,8711090,4.4,4.6
2008,New Mexico,154,2010662,7.7,7.9
2008,New York,894,19212436,4.7,4.7
2008,North Carolina,674,9309449,7.2,7.3
2008,Ohio,607,11515391,5.3,5.5
2008,Oklahoma,239,3668976,6.5,6.8
2008,Oregon,103,3768748,2.7,2.8
2008,Pennsylvania,710,12612285,5.6,5.9
2008,Rhode Island,29,1055003,2.7,2.7
2008,South Carolina,355,4528996,7.8,7.9
2008,South Dakota,20,799124,2.5,2.5
2008,Tennessee,484,6247411,7.7,7.9
2008,Texas,1500,24309039,6.2,6.1
2008,Utah,46,2663029,1.7,1.8
2008,Vermont,17,624151,NA,NA
2008,Virginia,378,7833496,4.8,4.8
2008,Washington,225,6562231,3.4,3.4
2008,West Virginia,73,1840310,4,4.1
2008,Wisconsin,153,5640996,2.7,2.8
2008,Wyoming,19,546043,NA,NA
2009,Alabama,414,4757938,8.7,8.9
2009,Alaska,27,698895,3.9,4
2009,Arizona,393,6343154,6.2,6.3
2009,Arkansas,222,2896843,7.7,7.9
2009,California,2155,36961229,5.8,5.7
2009,Colorado,195,4972195,3.9,3.9
2009,Connecticut,114,3561807,3.2,3.4
2009,Delaware,46,891730,5.2,5.3
2009,District of Columbia,136,592228,23,20.1
2009,Florida,1142,18652644,6.1,6.4
2009,Georgia,651,9620846,6.8,6.7
2009,Hawaii,23,1346717,1.7,1.7
2009,Idaho,23,1554439,1.5,1.4
2009,Illinois,887,12796778,6.9,7
2009,Indiana,344,6459325,5.3,5.5
2009,Iowa,44,3032870,1.5,1.5
2009,Kansas,129,2832704,4.6,4.7
2009,Kentucky,214,4317074,5,5
2009,Louisiana,575,4491648,12.8,12.9
2009,Maine,30,1329590,2.3,2.2
2009,Maryland,460,5730388,8,8.1
2009,Massachusetts,178,6517613,2.7,2.8
2009,Michigan,658,9901591,6.6,6.9
2009,Minnesota,97,5281203,1.8,1.9
2009,Mississippi,276,2958774,9.3,9.5
2009,Missouri,430,5961088,7.2,7.4
2009,Montana,35,983982,3.6,3.9
2009,Nebraska,48,1812683,2.6,2.8
2009,Nevada,158,2684665,5.9,5.9
2009,New Hampshire,15,1316102,NA,NA
2009,New Jersey,332,8755602,3.8,3.9
2009,New Mexico,179,2036802,8.8,9.1
2009,New York,848,19307066,4.4,4.4
2009,North Carolina,570,9449566,6,6.1
2009,North Dakota,14,664968,NA,NA
2009,Ohio,543,11528896,4.7,4.8
2009,Oklahoma,327,3717572,8.8,8.8
2009,Oregon,109,3808600,2.9,2.8
2009,Pennsylvania,660,12666858,5.2,5.4
2009,Rhode Island,30,1053646,2.8,2.9
2009,South Carolina,353,4589872,7.7,7.8
2009,South Dakota,31,807067,3.8,4
2009,Tennessee,497,6306019,7.9,8
2009,Texas,1521,24801761,6.1,6.1
2009,Utah,51,2723421,1.9,1.9
2009,Virginia,387,7925937,4.9,4.9
2009,Washington,194,6667426,2.9,2.9
2009,West Virginia,94,1847775,5.1,5.2
2009,Wisconsin,163,5669264,2.9,3
2009,Wyoming,19,559851,NA,NA
2010,Alabama,395,4779736,8.3,8.4
2010,Alaska,44,710231,6.2,6.1
2010,Arizona,418,6392017,6.5,6.7
2010,Arkansas,189,2915918,6.5,6.6
2010,California,1975,37253956,5.3,5.2
2010,Colorado,174,5029196,3.5,3.4
2010,Connecticut,144,3574097,4,4.2
2010,Delaware,61,897934,6.8,7
2010,District of Columbia,122,601723,20.3,17.7
2010,Florida,1123,18801310,6,6.2
2010,Georgia,649,9687653,6.7,6.7
2010,Hawaii,26,1360301,1.9,1.9
2010,Idaho,23,1567582,1.5,1.5
2010,Illinois,790,12830632,6.2,6.2
2010,Indiana,320,6483802,4.9,5
2010,Iowa,57,3046355,1.9,1.9
2010,Kansas,105,2853118,3.7,3.8
2010,Kentucky,200,4339367,4.6,4.7
2010,Louisiana,541,4533372,11.9,12
2010,Maine,26,1328361,2,2
2010,Maryland,442,5773552,7.7,7.8
2010,Massachusetts,207,6547629,3.2,3.2
2010,Michigan,623,9883640,6.3,6.5
2010,Minnesota,113,5303925,2.1,2.2
2010,Mississippi,287,2967297,9.7,9.9
2010,Missouri,442,5988927,7.4,7.6
2010,Montana,30,989415,3,3
2010,Nebraska,60,1826341,3.3,3.4
2010,Nevada,165,2700551,6.1,6.1
2010,New Hampshire,19,1316470,NA,NA
2010,New Jersey,389,8791894,4.4,4.6
2010,New Mexico,157,2059179,7.6,7.9
2010,New York,905,19378102,4.7,4.6
2010,North Carolina,541,9535483,5.7,5.7
2010,North Dakota,14,672591,NA,NA
2010,Ohio,572,11536504,5,5.1
2010,Oklahoma,289,3751351,7.7,7.6
2010,Oregon,116,3831074,3,3
2010,Pennsylvania,702,12702379,5.5,5.7
2010,Rhode Island,28,1052567,2.7,2.7
2010,South Carolina,323,4625364,7,7.1
2010,South Dakota,17,814180,NA,NA
2010,Tennessee,412,6346105,6.5,6.5
2010,Texas,1376,25145561,5.5,5.4
2010,Utah,52,2763885,1.9,1.9
2010,Virginia,374,8001024,4.7,4.7
2010,Washington,181,6724540,2.7,2.7
2010,West Virginia,90,1852994,4.9,5.3
2010,Wisconsin,159,5686986,2.8,2.8
2011,Alabama,395,4802740,8.2,8.4
2011,Alaska,36,722718,5,4.8
2011,Arizona,407,6482505,6.3,6.4
2011,Arkansas,209,2937979,7.1,7.4
2011,California,1941,37691912,5.1,5
2011,Colorado,193,5116796,3.8,3.8
2011,Connecticut,135,3580709,3.8,4.1
2011,Delaware,50,907135,5.5,5.5
2011,District of Columbia,110,617996,17.8,15.7
2011,Florida,1149,19057542,6,6.3
2011,Georgia,624,9815210,6.4,6.3
2011,Hawaii,18,1374810,NA,NA
2011,Idaho,29,1584985,1.8,1.9
2011,Illinois,821,12869257,6.4,6.4
2011,Indiana,317,6516922,4.9,4.9
2011,Iowa,54,3062309,1.8,1.9
2011,Kansas,125,2871238,4.4,4.4
2011,Kentucky,193,4369356,4.4,4.4
2011,Louisiana,552,4574836,12.1,12.1
2011,Maine,29,1328188,2.2,2.3
2011,Maryland,421,5828289,7.2,7.3
2011,Massachusetts,203,6587536,3.1,3.1
2011,Michigan,662,9876187,6.7,7
2011,Minnesota,110,5344861,2.1,2.1
2011,Mississippi,313,2978512,10.5,10.8
2011,Missouri,424,6010688,7.1,7.3
2011,Montana,27,998199,2.7,2.8
2011,Nebraska,67,1842641,3.6,3.8
2011,Nevada,134,2723322,4.9,5
2011,New Hampshire,22,1318194,1.7,1.8
2011,New Jersey,413,8821155,4.7,4.9
2011,New Mexico,149,2082224,7.2,7.6
2011,New York,837,19465197,4.3,4.3
2011,North Carolina,536,9656401,5.6,5.6
2011,North Dakota,20,683932,2.9,2.9
2011,Ohio,627,11544951,5.4,5.7
2011,Oklahoma,264,3791508,7,7.1
2011,Oregon,111,3871859,2.9,2.9
2011,Pennsylvania,693,12742886,5.4,5.7
2011,Rhode Island,19,1051302,NA,NA
2011,South Carolina,360,4679230,7.7,7.9
2011,South Dakota,27,824082,3.3,3.3
2011,Tennessee,448,6403353,7,7.1
